county,prophappy,propfood,prophealthyfood,propfastfood,sentfood,sentfastfood,senthealthy,calories,propexercise,sentex,percentalc,sentalc
48009,.21552879,.020080321,.0040160641,,.46666667,,.33333334,246.73334,.014725569,.27272728,.0040160641,0
48011,.090047397,.023696683,.0047393367,.0047393367,.2,0,0,125.2,.028436018,.16666667,.0047393367,0
48013,.12194631,.0263396,.0043229116,.0012063939,.17557251,.083333336,.18604651,191.65266,.0080426261,.175,.0020106565,.2
48015,.13753244,.028072659,.0040103798,.003066761,.17647059,0,.23529412,262.54202,.01155933,.18367347,.0033026657,.35714287
48017,.07984791,.0076045627,,,0,,,309.5,.019011406,0,.0038022813,0
48019,.20373921,.040747844,.0052732504,.0014381591,.34117648,.33333334,.27272728,214.91667,.031160114,.33846155,.0038350911,.125
48021,.17648333,.044174969,.0064963186,.0031759781,.25980392,.090909094,.32222223,327.12006,.016024252,.23873875,.0044030603,.3114754
48023,.15272728,.029090909,.0036363637,.0072727273,.125,.5,0,228,.010909091,.33333334,.014545455,0
48025,.14056115,.032961044,.0070825387,.0013620267,.23966943,.2,.30769232,281.08823,.010078997,.1891892,.0070825387,.11538462
48027,.1371018,.031260815,.0047901869,.0043886974,.19441985,.13249211,.21098267,258.04181,.012307735,.21934758,.0040148967,.24827586
48029,.17538333,.048372798,.0063843699,.0049953908,.26148745,.15984474,.27305356,243.9872,.017429225,.28812703,.0078103654,.32362899
48031,.32641509,.088679247,.0075471699,.0025157232,.38297874,.5,.25,167.25177,.059119496,.34042552,.03018868,.52083331
48033,.21052632,,,,,,,,.052631579,0,,
48035,.19257222,.032324623,.0055020633,,.14893617,,.25,362.63831,.020632736,.33333334,.0055020633,0
48037,.10303907,.030680174,.0041678725,.0042836471,.13584906,.22972973,.22222222,285.78113,.018871201,.08588957,.0013314037,.26086956
48039,.14984834,.038964521,.0051774001,.0044156029,.24837075,.1086262,.26975477,239.06456,.01633632,.19602764,.003442195,.21311475
48041,.19255625,.041623805,.0062778615,.0031784971,.23510773,.1493776,.18907563,230.35345,.01409881,.2684752,.0075571733,.30366492
48043,.20553258,.028179938,.004395036,.0018097208,.26605505,.2857143,.35294119,207.30092,.024560496,.41052631,.0067218202,.23076923
48045,.17088607,.03164557,.0063291141,,.40000001,,0,124.2,.050632913,.375,.0063291141,0
48047,.10437956,.032846715,.0058394158,.003649635,.15555556,0,.125,253.24445,.0080291973,.18181819,.003649635,0
48049,.1408425,.01941392,.0032967033,.0016483517,.16981132,.11111111,.11111111,256.14151,.011721612,.140625,.0032967033,.16666667
48051,.17419355,.049462367,.0059139784,.0021505377,.20652173,0,.18181819,226.02174,.011827957,.090909094,.0080645159,.2
48053,.25619224,.05452865,.0057301293,.0031423289,.32881355,.29411766,.25806451,186.20169,.027911276,.31788081,.0068391869,.27027026
48055,.14296696,.071176015,.0069177556,.0010760953,.27645788,0,.26666668,247.82397,.013528056,.125,.004765565,.12903225
48057,.11923077,.031360947,.0029585799,.003550296,.1509434,0,.2,232.34285,.021005917,.22535211,.0085798819,.13793103
48059,.1829502,.026819924,.0019157088,.0028735632,.21428572,.33333334,0,225.78572,.035440613,.27027026,.0019157088,.5
