zipcode,prophappy,propfood,prophealthyfood,propfastfood,calories,senthealthy,sentfastfood,sentfood,propexercise,sentex
48118,.31735888,.080404684,.012247072,.0010649627,228.90398,.26086956,0,.30463576,.11661342,.05479452
48120,.15121952,.03609756,.0029268293,.003902439,260.89191,.66666669,.25,.27027026,.014634146,.2
48122,.089012519,.018080669,.0013908206,.003245248,242.5641,0,.14285715,.15384616,.011590172,.2
48124,.21212444,.066588536,.0079906248,.012465374,262.23065,.23999999,.094017096,.2304,.014383124,.21481481
48125,.1264988,.024880096,.003297362,.0038968825,267.37195,.18181819,.23076923,.14457831,.010191847,.14705883
48126,.17205195,.036883116,.0072727273,.0042597405,289.11832,.35714287,.073170729,.24788733,.011116883,.26168224
48127,.15465023,.034575179,.0050924686,.0084427763,257.76563,.34210527,.14285715,.20930232,.0081747519,.18032786
48128,.14482501,.030156367,.0063291141,.0033507075,309.92499,.29411766,.22222222,.17283951,.018987341,.21568628
48130,.24189115,.061572291,.014293568,.0010995052,156.27678,.26923078,0,.3392857,.030236393,.29090908
48131,.17617618,.026026025,.007007007,.001001001,298.15384,.2857143,0,.26923078,.0050050048,.40000001
